className,gps
traffic sign,"(106.120232,40.398373)"
traffic sign,"(106.120232,40.398373)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
traffic sign,"(106.119948,40.398403)"
well cover,"(106.117632,40.398635)"
well cover,"(106.117333,40.398663)"
